venue.id,mean,sd,park_effect,park_effect_halved,park_effect_p_1sd,park_effect_m_1sd,park_effect_halved_m_1sd,park_effect_halved_p_1sd,venue.name,years,level,year,teams.home.team.id,teams.home.team.name,level_num
2854,1.2079890426626285,0.43897251863034614,114,107,124,104,102,112,LoanMart Field,2,Class A Advanced,2016,526,Rancho Cucamonga Quakes,13
3029,1.2203398406334205,0.4681180855894006,114,107,124,103,102,112,Estadio Universitario,3,Winter League,2016,698,Tiburones de La Guaira,17
2835,1.1893555509019553,0.33837360492108215,114,107,121,106,103,111,Recreation Park,4,Class A Advanced,2016,516,Visalia Rawhide,13
2500,1.2247097013861268,0.8351389029448322,114,107,132,95,98,116,Tempe Diablo Stadium,4,Rookie,2016,404,AZL Angels,16
2846,1.4126644150413457,0.4853134874766926,114,107,123,104,102,111,Security Service Field,5,Rookie Advanced,2016,551,Colorado Springs Sky Sox,5442
4669,1.344635827898112,0.6463125072428111,114,107,127,101,100,114,Southwest University Park,1,Triple-A,2017,4904,El Paso Chihuahuas,11
2510,1.23521354824617,1.581414401551477,114,107,149,79,89,125,Estadio Jose Bernardo Perez,2,Winter League,2017,696,Navegantes del Magallanes,17
2854,1.2044031398672057,0.37723426851328895,114,107,123,105,103,111,LoanMart Field,3,Class A Advanced,2017,526,Rancho Cucamonga Quakes,13
2768,1.1754139458054993,0.2701473523722781,114,107,120,108,104,110,Security Bank Ballpark,4,Double-A,2017,237,Midland RockHounds,12
3029,1.2621981038310863,0.5113808478421101,114,107,126,103,101,113,Estadio Universitario,4,Winter League,2017,698,Tiburones de La Guaira,17
2846,1.5117234308055687,0.5213417999531116,114,107,123,105,102,112,Security Service Field,4,Rookie Advanced,2017,551,Colorado Springs Sky Sox,5442
2956,1.2925258503427455,0.3631344006013685,114,107,121,106,103,111,Estadio de la Revolucion,5,Triple-A,2017,447,Vaqueros Union Laguna,11
2727,1.1642369702068303,0.4676949603673884,114,107,124,103,101,112,Whitaker Bank Ballpark,1,Class A,2018,495,Lexington Legends,14
2758,1.1982643313483126,0.6419548520044099,114,107,128,99,100,114,Dwyer Stadium,1,Class A Short Season,2018,511,Batavia Muckdogs,15
2510,1.3050544351742623,0.8437093595228355,114,107,133,96,98,116,Estadio Jose Bernardo Perez,1,Winter League,2018,696,Navegantes del Magallanes,17
4629,1.2875747304761105,1.2417128235276496,114,107,141,87,94,121,Sloan Park,1,Winter League,2018,555,Mesa Solar Sox,17
2802,1.660209837865769,0.7697402294656754,114,107,128,101,101,114,Lindquist Field,1,Rookie Advanced,2018,530,Ogden Raptors,5442
